"speciesName","FirstYrConverged","LastYrConverged","PropYrConverged","mean_means","median_means","mean_medians","median_medians"
"Corixa punctata",TRUE,TRUE,1,0.685923518185572,0.693964098974645,0.688625713705799,0.695976773123185
"Cryptostemma alienum",FALSE,FALSE,0,0.10552352312139,0.106674736773323,0.11503128392033,0.115719618415595
"Cryptostemma waltli",FALSE,FALSE,0,0.448879716325523,0.434098971119466,0.440472303361367,0.431771049357113
"Cymatia bonsdorffii",TRUE,TRUE,0.25531914893617,0.107692597579322,0.105081141629356,0.101379316430897,0.0995437577768561
"Cymatia coleoptrata",TRUE,TRUE,1,0.120774733345192,0.115790228738252,0.117060988201241,0.109912899211945
"Cymatia rogenhoferi",FALSE,FALSE,0,0.211702689572759,0.134665622587805,0.149192089448185,0.0734135213604314
"Gerris argentatus",TRUE,TRUE,1,0.044473066462017,0.0425615591887349,0.0407529320402058,0.0377436748237246
"Gerris costae",TRUE,TRUE,1,0.0168890926245361,0.0170366015087881,0.0159817150118694,0.0157610949813356
"Gerris gibbifer",TRUE,TRUE,1,0.043167298556805,0.039129358339217,0.0411500480951667,0.0381584404811282
"Gerris lacustris",TRUE,TRUE,1,0.663625244216755,0.742918017931538,0.674135390100338,0.754043965159685
"Gerris lateralis",TRUE,TRUE,1,0.0860329791650414,0.0789516102792952,0.0774023315124827,0.0721692243882207
"Gerris odontogaster",TRUE,TRUE,1,0.453256343421963,0.44274567690114,0.451953369750346,0.437577768560763
"Gerris thoracicus",TRUE,TRUE,1,0.313894997820509,0.341743904094716,0.308532700300926,0.337619245126504
"Glaenocorisa propinqua subsp. cavifrons",FALSE,FALSE,0,0.185760630868533,0.188185945327371,0.120343814255584,0.128992119452509
"Glaenocorisa propinqua subsp. propinqua",FALSE,FALSE,0,0.178928860770354,0.163895372216043,0.13486943706593,0.134798838656159
"Glaenocorisa propinqua",FALSE,FALSE,0,0.617568361766527,0.651510207567183,0.614744477880636,0.637909581086686
"Halosalda lateralis",TRUE,FALSE,0.51063829787234,0.355048995699213,0.241357820122266,0.320075540298455,0.123600165906263
"Hebrus pusillus",TRUE,TRUE,1,0.0174629032520241,0.00674912334847795,0.0141549811590494,0.00539195354624637
"Hebrus ruficeps",TRUE,TRUE,1,0.0382327107070964,0.0238288583289624,0.035475700909837,0.0228121111571962
"Hesperocorixa castanea",TRUE,TRUE,1,0.0504305666226083,0.049153100204799,0.0491982668090401,0.0476980506014102
"Hesperocorixa linnaei",TRUE,TRUE,1,0.336033622350581,0.310001588265672,0.332906801274301,0.307756117793447
"Hesperocorixa moesta",TRUE,TRUE,1,0.0690231463523235,0.0620683399674894,0.0668125700468597,0.0593114890087101
"Hesperocorixa sahlbergi",TRUE,TRUE,1,0.482968116214679,0.483847375445413,0.483766778153322,0.486520116134384
"Hydrometra gracilenta",FALSE,TRUE,0.404255319148936,0.00676369854389549,0.00292156690381989,0.00410353256792891,0.000414765657403567
"Hydrometra stagnorum",TRUE,TRUE,1,0.430265413227569,0.398344122611373,0.428214654464908,0.397345499792617
"Ilyocoris cimicoides",TRUE,TRUE,1,0.337259548770137,0.28652829075676,0.335042403169869,0.281625881377022
"Limnoporus rufoscutellatus",FALSE,FALSE,0,0.607336321765501,0.605045318036877,0.820053478295401,0.812111157196184
"Macrosaldula scotica",FALSE,FALSE,0,0.523708834016986,0.523717924431443,0.515950828207595,0.52094566569888
"Micracanthia marginalis",FALSE,FALSE,0,0.368677471418662,0.306536767728183,0.277213480766346,0.179178763998341
"Micronecta griseola",FALSE,FALSE,0,0.142395168071313,0.0808626719223972,0.0152757309141612,0.0132725010369141
"Micronecta minutissima",TRUE,FALSE,0.319148936170213,0.0394048773606397,0.034264711484459,0.00576259519754318,0.00165906262961427
"Micronecta poweri",FALSE,FALSE,0.0212765957446809,0.0451264644335933,0.0428029614695126,0.0382113892884563,0.0381584404811282
"Micronecta scholtzi",TRUE,TRUE,0.936170212765957,0.0633690290123015,0.062088289198149,0.056981741486273,0.0568228950642887
"Microvelia buenoi",TRUE,TRUE,1,0.0190265595485901,0.0130998842011446,0.0156816717703434,0.0103691414350892
"Microvelia pygmaea",TRUE,TRUE,1,0.0237600181729223,0.0172023543161291,0.0182232145220929,0.0141020323517213
"Microvelia reticulata",TRUE,TRUE,1,0.327215544409115,0.253144124212288,0.321143341246238,0.249274160099544
"Naucoris maculatus",FALSE,FALSE,0,0.77354793273247,0.781844835588996,0.868510461801848,0.866030692658648
"Nepa cinerea",TRUE,TRUE,1,0.439666990943807,0.397077719734917,0.436845310059391,0.395686437163003
"Notonecta glauca",TRUE,TRUE,1,0.788598856016058,0.785239211701796,0.792043559218829,0.790958108668602
"Notonecta maculata",TRUE,TRUE,1,0.0824767135497104,0.0692790951493487,0.0739783086385979,0.0588967233513065
"Notonecta obliqua",TRUE,TRUE,1,0.0950310961114757,0.093060237075247,0.091080773405579,0.0895893819991705
"Notonecta viridis",TRUE,TRUE,1,0.268111727447506,0.274010438839319,0.257437101229295,0.250103691414351
"Pachycoleus waltli",FALSE,FALSE,0,0.522974301791013,0.496768421636985,0.474412488858688,0.458730817088345
"Paracorixa concinna",TRUE,TRUE,1,0.165384613125919,0.163486806995196,0.156587272871679,0.154707590211531
"Plea minutissima",TRUE,TRUE,1,0.318130965059714,0.286677909986707,0.313792281828852,0.284114475321443
"Ranatra linearis",TRUE,TRUE,1,0.240002341508629,0.185771424825689,0.231545134445847,0.180837826627955
"Salda littoralis",TRUE,TRUE,0.74468085106383,0.0127361352574464,0.0079819526236463,0.00920426767387065,0.0049771878888428
"Salda morio",FALSE,FALSE,0,0.176540293593879,0.172762971142194,0.130359963641819,0.131895479054334
"Salda muelleri",FALSE,TRUE,0.574468085106383,0.195616509139862,0.129105427764696,0.155298851893361,0.129821650767316
"Saldula arenicola",FALSE,FALSE,0,0.438062610225825,0.457973202542693,0.420219384558363,0.469929489838241
"Saldula c-album",FALSE,FALSE,0,0.176074037795855,0.0980436876123842,0.155987186388627,0.102032351721277
"Saldula fucicola",FALSE,FALSE,0,0.285901351746218,0.287262036732257,0.130968874926092,0.133554541683949
"Saldula opacula",FALSE,FALSE,0,0.136730161912265,0.089669883988173,0.083217875517354,0.0667772708419743
"Saldula orthochila",FALSE,FALSE,0,0.21157518860116,0.190667281235689,0.186582772223056,0.190792202405641
"Saldula pallipes",TRUE,FALSE,0.638297872340426,0.0804564981031109,0.0693090604698301,0.00628325846960297,0.00580671920364994
"Saldula palustris",FALSE,TRUE,0.340425531914894,0.0104521583666927,0.00723082883599495,0.00575377039632182,0.00414765657403567
"Saldula pilosella",FALSE,FALSE,0,0.290979293089053,0.296908671779186,0.0242417289550553,0.0062214848610535
"Saldula saltatoria",TRUE,TRUE,1,0.0706162442436047,0.0238445149496984,0.0626472638703813,0.0170053919535462
"Saldula scotica",FALSE,FALSE,0,0.0167296227615175,0.0171059883339305,0.00261214116152034,0.0012442969722107
"Sigara distincta",TRUE,TRUE,1,0.385112404677868,0.347772366669929,0.381399083985633,0.345499792617171
"Sigara dorsalis",TRUE,TRUE,1,0.665713116472718,0.673332986191835,0.667252045147683,0.676897552882621
"Sigara falleni",TRUE,TRUE,1,0.485103827973528,0.491981269870559,0.484163894208283,0.491082538365823
"Sigara fossarum",TRUE,TRUE,1,0.32818130266391,0.315939491287568,0.325696938676456,0.31273330568229
"Sigara iactans",TRUE,TRUE,0.702127659574468,0.0338713850509015,0.00405800945954361,0.0202882180078894,0.000414765657403567
"Sigara lateralis",TRUE,TRUE,1,0.334432376045273,0.335840943332344,0.334636462313686,0.334715885524679
"Sigara limitata",TRUE,TRUE,1,0.106910529408447,0.0676184979635299,0.097514053495945,0.0642886768975529
"Sigara nigrolineata",TRUE,TRUE,1,0.384853615760576,0.372817215630301,0.381081391141665,0.370800497718789
"Sigara scotti",TRUE,TRUE,1,0.0725974608723873,0.0697518214093443,0.0706690081805907,0.0688510991289921
"Sigara selecta",FALSE,FALSE,0,0.359782894659109,0.357187739949377,0.113539892513921,0.0999585234342597
"Sigara semistriata",TRUE,TRUE,1,0.0691138766570059,0.0450630517001732,0.0655153242673209,0.0427208627125674
"Sigara stagnalis",TRUE,TRUE,1,0.0801251800060791,0.0749580314430981,0.0775876523381311,0.0742430526752385
"Sigara striata",TRUE,TRUE,1,0.0128795840536609,0.00910974774778474,0.0116134384072999,0.00871007880547491
"Sigara venusta",TRUE,TRUE,1,0.0372614222258874,0.0362015495243488,0.0352109568731964,0.0356698465367068
"Velia caprai",TRUE,TRUE,1,0.180082948957558,0.172538490454158,0.176548973234378,0.167980091248445
"Velia saulii",TRUE,TRUE,1,0.0193212097825,0.0170717718780175,0.0173936832072858,0.0157610949813356
"ANDRENA alfkenella",FALSE,TRUE,0.617021276595745,0.0596097640685489,0.0587428966844718,0.0532915281108885,0.0536840852279491
"ANDRENA angustior",TRUE,TRUE,1,0.115392362823032,0.128350081722196,0.111549536909233,0.123675752886561
"ANDRENA apicata",TRUE,TRUE,1,0.0295517948170395,0.0273074371516515,0.0281121548346575,0.026663492441376
"ANDRENA argentata",TRUE,TRUE,1,0.0391350568245698,0.0388888423689755,0.0381742801642155,0.038447803832877
"ANDRENA barbilabris",TRUE,TRUE,1,0.154618614717072,0.155595939998263,0.153122601919224,0.154505416021902
"ANDRENA bicolor",TRUE,TRUE,1,0.454431089415348,0.462853717211771,0.452894412266017,0.461968813236519
"ANDRENA bimaculata",TRUE,TRUE,1,0.089460760457483,0.0884134998106659,0.0881759263714806,0.0883228187120581
"ANDRENA bucephala",TRUE,TRUE,1,0.0530010166859017,0.0538012499446448,0.0504043338305723,0.051779550053565
"ANDRENA chrysosceles",TRUE,TRUE,1,0.298817849910018,0.317960824967917,0.296993519008629,0.316271872396143
"ANDRENA cineraria",TRUE,TRUE,1,0.125360701322685,0.0840835056211717,0.12411136465517,0.0828472800857041
"ANDRENA clarkella",TRUE,TRUE,1,0.179693643804287,0.18136264356881,0.177628296530048,0.179621473634091
"ANDRENA coitana",TRUE,TRUE,1,0.0561453088402901,0.0446338175889682,0.0540462508262694,0.042733007975241
"ANDRENA congruens",TRUE,TRUE,1,0.0227580706000169,0.0195594017466131,0.0206307759714522,0.017974050708249
"ANDRENA denticulata",TRUE,TRUE,1,0.204538788755249,0.20443393971237,0.201331148520819,0.202118795381502
"ANDRENA dorsata",TRUE,TRUE,1,0.288548317140895,0.301402784878016,0.287166927949307,0.300321390310677
"ANDRENA falsifica",TRUE,TRUE,1,0.0089080580174113,0.00821999133348891,0.00807907873176192,0.00761814069753601
"ANDRENA ferox",FALSE,FALSE,0,0.00197020960886705,0.00171258548130801,0.00123085650897689,0.00119033448399
"ANDRENA flavipes",TRUE,TRUE,1,0.316813140695236,0.313549505241081,0.315600726357298,0.312105701702178
"ANDRENA florea",TRUE,TRUE,1,0.0442861757511597,0.0231169431886696,0.0412033015319858,0.018807284847042
"ANDRENA fucata",TRUE,TRUE,1,0.222655488853682,0.232078950748332,0.218436508318412,0.227710986787287
"ANDRENA fulva",TRUE,TRUE,1,0.32618966700881,0.322082544843118,0.32551849197284,0.321509344125699
"ANDRENA fulvago",TRUE,TRUE,1,0.0264870711515368,0.0226668407086728,0.0250932639731339,0.021545054160219
"ANDRENA fuscipes",TRUE,TRUE,1,0.148425780558776,0.141693528345842,0.147502703578855,0.140697536007618
"ANDRENA gravida",FALSE,FALSE,0,0.432136312580998,0.429212612693969,0.344771519094738,0.35233900726104
"ANDRENA haemorrhoa",TRUE,TRUE,1,0.604539465084682,0.664251545189673,0.60456835179196,0.665277943102012
"ANDRENA hattorfiana",TRUE,TRUE,1,0.0132252491534756,0.014399488334118,0.0128606776802154,0.014164980359481
"ANDRENA helvola",TRUE,TRUE,0.978723404255319,0.175893022508433,0.172848469825051,0.172069181227159,0.17259850017855
"ANDRENA humilis",TRUE,TRUE,1,0.0701540377524276,0.0706446822641608,0.068365721406013,0.0690394000714201
"ANDRENA labialis",TRUE,TRUE,1,0.100239201494757,0.0853354308834969,0.0968096503202506,0.0836805142244971
"ANDRENA labiata",TRUE,TRUE,1,0.105410125963727,0.115441019997566,0.101971143252956,0.11189144149506
"ANDRENA lapponica",TRUE,TRUE,1,0.0726676228269595,0.0742506262378823,0.0704956603443866,0.0702297345554101
"ANDRENA lathyri",FALSE,FALSE,0.0212765957446809,0.164148103773572,0.137645688838044,0.0962474072235575,0.038685870729675
"ANDRENA marginata",TRUE,TRUE,1,0.0161478225845322,0.0155226913097864,0.0157225456949147,0.015236281395072
"ANDRENA minutula",TRUE,TRUE,1,0.397310138899825,0.420793422892836,0.395788748553237,0.420069039400071
"ANDRENA minutuloides",TRUE,TRUE,1,0.046372609759496,0.0469156342206696,0.0441588767294674,0.0449946434948221
"ANDRENA nigriceps",TRUE,TRUE,1,0.028791056401309,0.0307962045059275,0.0268964940850507,0.029163194857755
"ANDRENA nigroaenea",TRUE,TRUE,1,0.451339098956152,0.467446446746821,0.450308600546541,0.467087251517676
"ANDRENA nigrospina",TRUE,TRUE,0.531914893617021,0.00261945940000991,0.00176555271748375,0.00229709229144453,0.001547434829187
"ANDRENA nitida",TRUE,TRUE,1,0.332312770300849,0.366318114281168,0.330150665954154,0.364837519342935
"ANDRENA nitidiuscula",TRUE,TRUE,1,0.0162777394514091,0.0158697933452333,0.0157883939855184,0.01547434829187
"ANDRENA niveata",FALSE,TRUE,0.914893617021277,0.006037027924441,0.00491317536253886,0.00397875632840062,0.003451970003571
"ANDRENA ovatula",TRUE,TRUE,1,0.173977706481818,0.178696897794082,0.171319523764901,0.177478871562909
"ANDRENA pilipes s.l.",TRUE,TRUE,1,0.0254270283444143,0.0239100531582158,0.0237712329079365,0.02261635519581
"ANDRENA pilipes s.s.",TRUE,TRUE,1,0.027880705993319,0.0272017466856689,0.0269370161100376,0.026425425544578
"ANDRENA praecox",TRUE,TRUE,1,0.131150532941306,0.137349959070312,0.128778995408348,0.135936198071658
"ANDRENA proxima",TRUE,TRUE,1,0.0307252896959505,0.0283518439242899,0.0286617347985422,0.026663492441376
"ANDRENA rosae",FALSE,TRUE,0.297872340425532,0.362011161029348,0.380550464203965,0.354023203924558,0.385073205570765
"ANDRENA ruficrus",TRUE,TRUE,1,0.015209725347486,0.0124085034886454,0.012554229866252,0.00987977621711701
"Andrena scotica",TRUE,TRUE,1,0.536524530248274,0.581240495170813,0.535440309790881,0.579335793357934
"ANDRENA semilaevis",TRUE,TRUE,1,0.290500537769587,0.296604185384113,0.288559872558231,0.29401261754553
"ANDRENA similis",TRUE,TRUE,1,0.032697440339394,0.0317908161251859,0.0293024893186475,0.02856802761576
"ANDRENA simillima",FALSE,FALSE,0,0.0145069526896812,0.014505601347715,0.0060580427355406,0.00583263897155101
"ANDRENA subopaca",TRUE,TRUE,1,0.332621266020886,0.353561955279215,0.330588810349325,0.351505773122247
"ANDRENA synadelpha",TRUE,TRUE,1,0.157950078623531,0.150641116914515,0.153467039131613,0.144863706701583
"ANDRENA tarsata",TRUE,TRUE,1,0.0532070934233745,0.0405681120538664,0.0509336527819636,0.039042971074872
"ANDRENA thoracica",TRUE,TRUE,1,0.0790901624536372,0.0756113961948611,0.0780175612325787,0.0752291393881681
"ANDRENA tibialis",TRUE,TRUE,1,0.0831610515096094,0.074619575770408,0.0803146535240232,0.0714200690394001
"ANDRENA trimmerana",TRUE,TRUE,1,0.138519518824197,0.124397351135895,0.134024065017589,0.12022378288299
"ANDRENA vaga",FALSE,FALSE,0,0.142404267488698,0.14641073683728,0.0388783503483628,0.042494941078443
"ANDRENA varians",TRUE,TRUE,1,0.0417461509974138,0.0405699629314451,0.0393975387935074,0.038804904178074
"ANDRENA wilkella",TRUE,TRUE,1,0.250630684572263,0.23937442575556,0.2466854249874,0.23568622783002
"ANTHIDIUM manicatum",TRUE,TRUE,1,0.104567999078031,0.0842700514658828,0.101682423824925,0.0811808118081181
"ANTHOPHORA bimaculata",TRUE,TRUE,1,0.0995883433129045,0.0889252882909955,0.0985748910337422,0.0877276514700631
"ANTHOPHORA furcata",TRUE,TRUE,1,0.175429380270774,0.175372751419565,0.172801110303485,0.172955600523747
"ANTHOPHORA plumipes",TRUE,TRUE,1,0.129688059432995,0.125954677150085,0.127687433360264,0.124508987025354
"ANTHOPHORA quadrimaculata",TRUE,TRUE,1,0.0298430829597569,0.0300580495317574,0.0285705602423217,0.029044161409356
"ANTHOPHORA retusa",TRUE,FALSE,0.680851063829787,0.0024149710464974,0.0023328675251751,0.00198557922435779,0.002023568622783
"APIS mellifera",TRUE,TRUE,1,0.148913756828576,0.0910650396536238,0.147533095097595,0.0899892869896441
"BOMBUS barbutellus",TRUE,TRUE,1,0.189592072263313,0.117606534861925,0.186168313296036,0.114629210808237
"BOMBUS bohemicus",TRUE,TRUE,1,0.170247977836566,0.162544039206801,0.169572011437342,0.16188548982264
"BOMBUS campestris",TRUE,TRUE,1,0.309452558786761,0.246737680970969,0.305105521885692,0.242709201285561
"BOMBUS cryptarum",FALSE,TRUE,0.0851063829787234,0.0425269631472674,0.0243456937973242,0.0269800707615861,0.002975836209975
"BOMBUS distinguendus",TRUE,TRUE,1,0.0275324766155252,0.0225523005482865,0.0268534394335021,0.022259254850613
"BOMBUS hortorum",TRUE,TRUE,1,0.568317770609024,0.546805774816604,0.567480568422706,0.546125461254613
"BOMBUS humilis",TRUE,TRUE,1,0.0665923043898508,0.0547737105467069,0.0648884251368251,0.0536840852279491
"BOMBUS hypnorum",FALSE,TRUE,0.276595744680851,0.18820424988876,0.13294130555941,0.0982583127135321,0.001666468277586
"BOMBUS jonellus",TRUE,TRUE,1,0.187861821708571,0.184738114600043,0.185378133808792,0.18212117605047
"BOMBUS lapidarius",TRUE,TRUE,1,0.613108641308191,0.654387480602163,0.613133694823565,0.654564932746102
"Bombus lucorum s.l.",TRUE,TRUE,1,0.668819297057723,0.655166807187554,0.669687245945898,0.655279133436496
"Bombus lucorum s.s.",FALSE,FALSE,0,0.421259396296686,0.428000805649516,0.390829865745466,0.39162004523271
"BOMBUS magnus",TRUE,TRUE,1,0.0342302970859455,0.0256188833219927,0.0325847733425859,0.024044756576598
"BOMBUS monticola",TRUE,TRUE,1,0.054819023681699,0.0493396946626898,0.0542539262043272,0.048922747291989
"BOMBUS muscorum",TRUE,TRUE,1,0.102020453812473,0.0879519825937045,0.101477281073428,0.0885608856088561
"BOMBUS pascuorum",TRUE,TRUE,1,0.689491522075764,0.733600119184613,0.689662071637875,0.734436376621831
"BOMBUS pratorum",TRUE,TRUE,1,0.571426810490919,0.566902639274655,0.570821102857562,0.566599214379241
"BOMBUS ruderarius",TRUE,TRUE,1,0.181006436816215,0.115190717074074,0.178334899340757,0.112367575288656
"BOMBUS ruderatus",TRUE,TRUE,1,0.0165692642562456,0.0106654886277231,0.0154844787981167,0.00976074276871801
