species,mean_growth_rate,precision_growth_rate,mean_year_precision
EPEOLUS cruciger,0.276070024,3.379545098,2051.146159
EPEOLUS variegatus,-0.975286767,0.998574984,1007.645665
EUCERA longicornis,-3.503315648,0.504727489,26539.2382
EUCERA nigrescens,0.244152761,0.3150125,26.71021133
HALICTUS confusus,-1.506601253,0.344541118,12308.60977
HALICTUS eurygnathus,-1.402888836,0.020617993,5009.875977
HALICTUS rubicundus,-0.023710525,1.690546603,386.2978077
HALICTUS tumulorum,1.502541302,1.168056592,396.6742102
HERIADES truncorum,1.583184009,0.323263755,20186.86581
HOPLITIS claviventris,-0.457882025,0.467233832,830.491688
HYLAEUS annularis,-3.995591254,0.082158006,394404.3375
HYLAEUS brevicornis,-0.237572833,0.647504675,487.5782879
HYLAEUS communis,1.35746876,1.417426273,398.3471122
HYLAEUS confusus,-1.141985962,0.599071541,460.9380719
HYLAEUS cornutus,-1.735174134,0.49794827,2946.844312
HYLAEUS dilatatus,1.245558123,0.390949252,1205.769452
HYLAEUS hyalinatus,0.203468792,1.12222337,714.1703615
HYLAEUS incongruus,-4.959204113,0.159303249,8636.528373
HYLAEUS pectoralis,0.750007975,0.696453957,59141.79562
HYLAEUS pictipes,-1.862001105,0.334695041,10807.54945
HYLAEUS signatus,0.192984524,1.880140749,5615.904267
HYLAEUS spilotus,-0.992029768,0.0697294,12.91352188
LASIOGLOSSUM albipes,-0.28807327,1.038260272,502.4786846
LASIOGLOSSUM angusticeps,-2.678747657,0.091827911,12032.64451
LASIOGLOSSUM brevicorne,0.85385498,0.225311476,7379.538277
LASIOGLOSSUM calceatum,2.383583471,1.748234912,447.4643294
LASIOGLOSSUM cupromicans,-0.339179312,0.955240136,5126.290286
LASIOGLOSSUM fratellum,-1.836221784,0.776993802,4715.632206
LASIOGLOSSUM fulvicorne,-0.551639777,1.292253994,4002.341556
LASIOGLOSSUM laevigatum,-3.137474445,0.575428072,2253.389353
LASIOGLOSSUM laticeps,2.351518608,0.09013715,239814.5891
LASIOGLOSSUM lativentre,0.193258605,0.742713343,234.1616763
LASIOGLOSSUM leucopus,-0.883195772,0.827382734,573.3814127
LASIOGLOSSUM leucozonium,2.13176788,0.783842725,457.3281058
LASIOGLOSSUM malachurum,1.719561271,0.597829365,1602.628111
LASIOGLOSSUM minutissimum,3.96475808,0.271358217,668.2538674
LASIOGLOSSUM morio,2.507248217,1.724433166,774.7234422
LASIOGLOSSUM nitidiusculum,-4.100663432,0.278486198,5815.502151
LASIOGLOSSUM parvulum,0.355532772,0.518145365,564.5909472
LASIOGLOSSUM pauperatum,-1.19577257,0.155655498,8564.057087
LASIOGLOSSUM pauxillum,5.187249661,0.15921742,3941.672806
LASIOGLOSSUM prasinum,1.218042983,0.485379647,15642.96994
LASIOGLOSSUM punctatissimum,1.480642963,0.446055684,774.9874651
LASIOGLOSSUM puncticolle,0.818196461,0.217987127,7983.495848
LASIOGLOSSUM quadrinotatum,1.463590369,0.361530449,155.5221652
LASIOGLOSSUM rufitarse,-1.195005156,0.447852862,4027.419322
LASIOGLOSSUM semilucens,-3.856657179,0.122716247,1520.955402
LASIOGLOSSUM sexnotatum,0.198132706,0.155091769,21.82559897
LASIOGLOSSUM sexstrigatum,0.153394004,0.196186945,37.15676447
LASIOGLOSSUM smeathmanellum,-0.343217868,1.693246046,1465.431144
LASIOGLOSSUM villosulum,1.345311927,1.412100801,384.018187
LASIOGLOSSUM xanthopus,-5.0287163,0.261941468,7623.513094
LASIOGLOSSUM zonulum,-1.910517543,0.513783903,965.3416306
MACROPIS europaea,1.31244378,0.572429699,27998.04444
MEGACHILE centuncularis,0.311947623,3.095447017,741.7747887
MEGACHILE circumcincta,-3.435206049,0.400049438,21642.91923
MEGACHILE leachella,2.438584106,0.773828218,23992.70443
MEGACHILE ligniseca,0.970319829,0.752348524,771.2765389
MEGACHILE maritima,0.287064139,0.711771273,1623.436693
MEGACHILE versicolor,0.156439636,0.830722423,525.0005867
MEGACHILE willughbiella,1.243700604,1.140889601,355.6647036
MELECTA albifrons,2.947353159,0.268225998,3451.908101
MELITTA dimidiata,-0.086274008,0.35927469,463071.0176
MELITTA haemorrhoidalis,-0.809428805,0.561790761,2105.800201
MELITTA leporina,-2.064575397,0.826601667,1139.765063
MELITTA tricincta,1.981164887,0.505405764,3553.187111
NOMADA argentata,-1.191240797,0.325817994,240446.7535
NOMADA armata,2.065525703,0.106089717,175260.4817
NOMADA baccata,-1.005362923,0.669437063,18524.46973
NOMADA conjungens,0.916467409,0.165588335,55.20533779
NOMADA errans,-2.631576603,0.149643316,22.24003635
NOMADA fabriciana,1.275601644,0.999511352,335.9026767
NOMADA ferruginata,4.302460365,0.083888076,161.4659051
NOMADA flava,2.75988338,0.535318549,317.4580135
NOMADA flavoguttata,0.752128985,0.906158933,431.5594319
NOMADA flavopicta,-0.483483031,0.794125462,1640.292177
NOMADA fucata,5.056028518,0.268436514,2714.224187
NOMADA fulvicornis,0.680192767,0.323441359,1425.016326
NOMADA goodeniana,3.43967174,0.64118967,386.0290641
NOMADA guttulata,1.843838791,0.133054073,13.58870443
NOMADA hirtipes,1.096567445,0.170172671,11939.50339
NOMADA integra,-1.126974811,0.525602036,7949.259297
NOMADA lathburiana,4.611534448,0.418131555,4798.983474
NOMADA leucophthalma,1.442068798,0.928249159,690.4507713
NOMADA marshamella,-0.114135067,1.413807991,273.9807962
NOMADA obtusifrons,-2.613056115,0.265201658,1125.725899
NOMADA panzeri,-0.67913941,1.004469116,456.4216433
NOMADA roberjeotiana,-5.022290157,0.141939179,181.7512739
NOMADA ruficornis,1.098981777,1.513978225,244.8520291
NOMADA rufipes,0.587570724,1.261533045,1434.795222
NOMADA sexfasciata,-0.576001021,0.191967235,87.63729806
NOMADA sheppardana,-2.021507269,0.380423349,1616.718079
NOMADA signata,-1.579662433,0.247561434,10336.70747
NOMADA striata,-0.967922152,0.346627999,646.8760316
OSMIA aurulenta,0.829698451,1.214839812,7549.417978
OSMIA bicolor,4.207190233,0.374654642,8326.873655
OSMIA bicornis,1.461193494,1.216202611,904.3963037
OSMIA caerulescens,0.054082934,1.628221596,715.8281526
OSMIA inermis,-0.702871874,0.141089427,44.09352827
OSMIA leaiana,0.43344166,1.219364677,980.7965853
OSMIA parietina,-4.260102539,0.140653244,666957.0177
OSMIA pilicornis,-3.294041596,0.180005916,31311.98821
OSMIA spinulosa,2.036682193,1.145467077,4419.849811
OSMIA uncinata,0.62467564,0.08066787,999.334048
OSMIA xanthomelana,3.43854373,0.055743591,64.22572215
PANURGUS banksianus,-1.312656198,0.675758528,3068.798765
PANURGUS calcaratus,1.271861837,0.60636229,2269.337609
SPHECODES crassus,0.914928301,0.204506526,432.3542609
SPHECODES ephippius,3.376068172,0.35349021,285.1143338
SPHECODES ferruginatus,-3.293870199,0.152920935,164.959102
SPHECODES geoffrellus,0.811912827,0.715087355,239.4279575
SPHECODES gibbus,-3.402927292,0.774906572,501.4417632
SPHECODES hyalinatus,-0.657517023,0.458483527,3351.444942
SPHECODES longulus,0.56183572,0.293286519,2864.675997
SPHECODES miniatus,-0.817188262,0.299918396,30.94729065
SPHECODES monilicornis,1.969856075,0.698240152,235.2044109
SPHECODES niger,6.086064487,0.063377829,1614.736566
SPHECODES pellucidus,1.946761574,0.668584087,2518.377848
SPHECODES puncticeps,1.632037356,0.40958108,550.9972857
SPHECODES reticulatus,3.910757833,0.237090652,2501.638009
SPHECODES rubicundus,-3.777062707,0.133810656,4679.941619
SPHECODES scabricollis,-1.614386879,0.280571266,6320.211722
SPHECODES spinulosus,-7.846556874,0.097149946,13953.31989
STELIS breviuscula,3.799211697,0.067620201,54031.11078
STELIS ornatula,-0.844338344,0.58900262,148.6142542
STELIS phaeoptera,-0.365773077,0.214339284,3947.893058
STELIS punctulatissima,-2.429354508,0.184378832,2500.140847
XYLOCOPA violacea,-1.207084383,0.073002857,15.16493876
Bry_1,1.661140367,0.148077757,1962.742272
Bry_100,0.812361449,0.233447213,19.96237734
Bry_1000,-0.476472923,0.629217975,3216.317393
Bry_1001,-0.487793,0.12234477,75.39687463
Bry_1002,-0.756384154,0.358438727,43.44889361
Bry_1003,-4.792403126,0.324301755,24053.43353
Bry_1004,0.725888504,0.107370055,223.8910391
Bry_1005,2.3197697,0.626930381,18341.25795
Bry_1007,-0.079470887,0.489938667,33.25964416
Bry_1009,0.949568131,0.047319256,34.75867984
Bry_101,-0.986779316,0.198610509,13.95452221
Bry_1010,0.934078056,0.085861487,19.74239569
Bry_1011,1.951635882,0.418002438,157996.0652
Bry_1012,2.37578585,0.319629439,8109.599254
Bry_1014,0.426959381,0.635666874,40.1549351
Bry_1015,-1.163408067,0.825404208,68.79831175
Bry_1016,-0.463867357,0.45953533,53.76611499
Bry_1017,0.041948432,0.520072351,361.5183674
Bry_1018,0.704053551,0.360556282,81.93171732
Bry_1020,0.72792628,0.339560414,39.80102038
Bry_1021,0.269980457,0.43567492,66.39718397
Bry_1023,-0.414580385,0.090825416,31.51909407
Bry_1024,1.329750894,0.156654431,129.9973962
Bry_1026,1.321753414,0.080847294,55.50954957
Bry_1027,-1.079806884,0.142362772,337.0099315
Bry_1028,1.043208445,0.076476016,1033.182347
Bry_1030,1.081885981,0.310147056,26.2994044
Bry_1031,3.519752604,0.075877641,233.7434016
Bry_1032,2.062293257,0.099006378,8.963476103
Bry_1034,2.410512916,0.075478855,864093.2651
Bry_1037,0.623412238,0.264042643,157890.209
Bry_104,-0.762505647,0.197130961,60.32028296
Bry_1040,-0.220203818,0.348782813,27.49707356
Bry_1042,-0.154072496,0.140461062,29.78765679
Bry_1044,4.661974516,0.054878695,380.6832608
Bry_1046,-0.051908391,0.240210917,104760.1326
Bry_1048,-0.565440154,0.370562268,25.86327049
Bry_105,-0.20179109,0.204042223,38.54381316
Bry_1052,2.515543225,3.434606817,746.5545593
Bry_1053,0.032205273,0.326721653,203308.4813
Bry_1054,1.873546901,1.5683667,520.1897933
Bry_1055,0.137876164,2.606671633,797.2191915
Bry_1056,0.350411821,15.92530764,708.0949152
Bry_1058,1.747201266,0.053300544,267.6314382
Bry_1059,0.061164308,0.356326586,111544.8954
Bry_106,0.006446591,0.562447005,261.1485836
Bry_1060,-0.04302964,0.053591805,50612.71194
Bry_1067,1.991509788,0.856654906,6460.803781
Bry_1068,2.577517511,0.756430974,5413.522239
Bry_1069,-0.443873207,0.663206972,74.74658586
Bry_107,2.114129588,1.159031304,3072.17325
